标题,阅读量,评论,时间
搞毛线啊，每次都这么玩，看来以后不能在上午11点和下午两点以后放空单,150,0,2025-04-18 04:35
还是可惜了！,217,0,2025-04-18 04:08
"关税""七伤拳""反噬高端制造？债市为何逆势走牛？",2177,3,2025-04-18 01:54
这还了得，居然有人砸尾盘？砸出一根瀑布线，好好去查查到底谁砸的？,164,0,2025-04-18 03:38
量化交易不得人心！,644,8,2025-04-04 03:21
印度孟买Sensex五日狂飙6%，筑底完成？,36625,50,2025-04-18 11:36
国家队想套利的行为把我信心打散了,178,1,2025-04-18 02:35
冒烟了，辛苦大兄弟了,157,0,2025-04-18 02:56
开工开工,127,0,2025-04-18 02:47
国家队老想套利的行为把我信心打散了,134,0,2025-04-18 02:34
【老王实盘】挑战2025年收益率100%，从6W赚到12W！第59天：又吃面了,1585,9,2025-04-16 06:14
两点半以后跳水，实在看不下去了真难看。,126,0,2025-04-18 02:29
2025年2月26日，大A冲高回落，从2月12日开始我就不看好指数。现在还是坚持,579,58,2025-02-26 12:41
大盘稳住3200点，为何先拉升的是大消费？,278,19,2025-04-17 01:59
什么，不死不活，天天硬拉一波。恶心啊,142,0,2025-04-18 01:54
免签政策“时间增量”催热中国入境游新业态,88,2,2025-04-15 10:28
硬砸到现在为空单站台，真是缺德到家,131,0,2025-04-18 01:53
大盘都开始织布了,118,0,2025-04-18 01:48
“反向代购”兴起最近，海内外社交媒体被一条新闻刷屏了——美国人纷纷飞中国代购中国,138,0,2025-04-18 01:47
市场在担心什么？,312,1,2025-04-18 12:37
又给期货带下去割了正股。,109,2,2025-04-18 10:27
从十五分钟和三十分钟技术指标看，今日容易出现高速下滑迹象，除非像昨天一样硬护等人,92,1,2025-04-18 08:31
生意太难做了我的公司卖了,101,1,2025-04-18 08:52
超短也要做大票啊，小票低开是大概率！！,39,2,2025-04-18 09:20
加油真的要红起来,85,2,2025-04-18 09:56
今年来内资主力近四个月净流出，3.8万亿！！！,136,0,2025-04-18 12:09
妖股将在华贸了,116,2,2025-04-18 10:51
【老王实盘】挑战2025年收益率100%，从6W赚到12W！第60天：回血，+620元,30944,8,2025-04-17 05:46
持仓还是止盈,201,1,2025-04-18 11:36
我的减仓计划~,2013,12,2025-04-15 02:53
这周的震荡也太平了【操作笔记4.18盘中】,303,0,2025-04-18 11:17
全球首款口服减肥创新药突破！减肥药题材回归？港股创新药ETF持续向好,316,1,2025-04-18 09:54
逆水行舟的信念和勇气（当其他人都在抛售时买进）；随着时间的推移保持信心（在低点买,75,0,2025-04-18 08:29
两个意义,182,0,2025-04-18 12:00
沪指从3400到3400点，华夏基金李彦领跌全市场,283,4,2025-04-17 07:49
黄金价格超过沪指3280，黄金还能买吗？,241,1,2025-04-17 07:37
黄金新高、沪深300破万亿、245%关税！盘点我们见证的历史,191,1,2025-04-17 07:06
调整姿势拍个大合照,334,1,2025-04-17 06:53
924行情以来，全市场里永赢新能源跌幅最大,194,0,2025-04-17 07:13
沪深300股息率创出近十年新高，背后预示着哪些机会？,1741,14,2025-04-16 09:25
象元月17号的样子了，那就是振荡洗两周，就面临五一节了，看节前2天与节后！,88,0,2025-04-17 04:43
昨天拉尾盘，今天还会拉吗？亲？,105,1,2025-04-17 02:33
这个股息率多少,86,0,2025-04-17 03:16
资金为何“哑铃式”押注港股？,30907,51,2025-04-17 11:41
一场思想实验，有个5年不可以看账户的“机会”，你愿意吗？,219,0,2025-04-17 03:06
多元资产配置，很好，但不要贪杯！,182,0,2025-04-17 02:54
怎么不按剧本来，尾盘牛在那里,87,1,2025-04-17 02:42
拉上去再砸下来，汪汪队现在量化玩的很溜,75,0,2025-04-17 02:35
早盘买进，尾盘拉高卖出，稳赚,75,0,2025-04-17 02:34
拉上去啊，连阳神功不能破啊,70,0,2025-04-17 02:32
小伊带领300先锐发起最后冲锋！,334,3,2025-04-16 08:37
好规则能让坏人变好真的这个时候是红不能量化啊反复啊,72,0,2025-04-17 01:50
谁都不买了，一买就是被量化搞死。,77,0,2025-04-17 01:25
破万亿了...,1382,2,2025-04-16 02:36
做空才能挣钱啊哈哈哈哈,118,1,2025-04-17 09:56
价是稳得不错，量却暴露了实际，当然咯，量也可以刷，只是刷的终究是刷的，我希望长虹,86,0,2025-04-17 11:52
$沪深300(SH000300)$,76,0,2025-04-17 11:35
原料药暴跌70%，社保养老金联手抄底，刚又跌30%，社保养老金被套,646,2,2025-04-18 02:07
散户持续躺平中【操作笔记4.17盘中】,215,0,2025-04-17 11:20
现在谁傻啊,90,0,2025-04-17 10:40
这时候券商要给信心拉一波,74,0,2025-04-17 10:17
GDP大增5.4%，A股却4100个股票下跌，核心原因是它，25年主线出现,1078,4,2025-04-16 09:35
憋不住了，进攻！,155,0,2025-04-17 08:49
你看重组预期？这三个今天能抄底吗？福莱蒽特(SH605566)，博睿数据(SH6,97,1,2025-04-17 08:42
GDP大增5.4%但A股却下跌原因只有一个， 2025年主线出现,1047,1,2025-04-16 09:32
突发2大利空，纳斯达克大跌2.2%，英伟达暴跌7%，芯片集体大跌,908,1,2025-04-16 04:42
个股调整,200,2,2025-04-16 08:05
弱弱的问一句，买指数好还是买个股好！想长期投资，大概投入10--20年,250,5,2025-04-16 11:43
另外一个淘宝已经占据美国网购app下载榜首，没有中间商赚差价，关税已经不值一提了,123,1,2025-04-16 09:05
欧盟取消关税还不许卖低价车，这下好了，汽车出口直接十倍利润空间,115,2,2025-04-16 08:55
盘后利好！大模型巨头将IPO，核心受益股有10个，名单出炉,3136,10,2025-04-15 04:00
收了神通吧,802,3,2025-04-16 05:00
短线哥分享实盘交易记录，4.16复盘方向，领湃科技、上海贝岭、杭钢股份、新亚电缆,742,7,2025-04-16 04:22
五千多个只拉300个，其他的不管了,191,4,2025-04-16 02:59
本周三天活跃资金持续走弱了,134,0,2025-04-16 04:46
【老王实盘】挑战2025年收益率100%，从6W赚到12W！第58天：-240元,3520,6,2025-04-15 05:13
机构疯狂砸盘为哪般？？？？？？？？？？？？,128,2,2025-04-16 02:02
尾盘拉二笔吧,142,2,2025-04-16 02:56
把散户的股份买光,84,0,2025-04-16 03:27
股市还能玩吗？拿着的不涨，不管拿多久就不涨，割过就大涨，到底问题出在哪？精心选好,94,0,2025-04-16 03:23
把期指直接打爆了，以后就不会这么扯淡了,91,0,2025-04-16 03:21
强拉猛拽，有意思吗？太老套，保险银行三桶油三电信,98,0,2025-04-16 03:18
就这样干，再干2天，打破期指魔咒。,97,0,2025-04-16 03:05
每天都是尾盘上拉,88,0,2025-04-16 03:04
尾盘搞事，阻止短线指标见底。,84,0,2025-04-16 03:01
下贱,79,0,2025-04-16 02:59
4个大利空！刚刚反弹234个公司减持股票，都记录下来，别踩雷,544,0,2025-04-16 02:55
关键时候还得吃救心丸啊,77,0,2025-04-16 02:54
4月16号：成功避开大跌,176,0,2025-04-16 02:51
最后10～20分钟，大盘努力努力再努力啊！,77,0,2025-04-16 02:48
拉拉小盘给信心,71,0,2025-04-16 02:09
GDP大增，A股4400个下跌，量能不够万亿，接下来有三天风险巨大,1268,13,2025-04-16 12:01
触底反弹！把握情绪错杀机会！港股创新药ETF午后低位反弹,341,0,2025-04-16 01:57
从2024年10月7日开始，就要出政策，出来的不落实，没出来的喊了几个月了都没出,78,0,2025-04-16 01:57
虽然只是小幅度的阴，但这个位置，没有绝对把握的参与者最好不要仓位过重，无非少赚点,76,0,2025-04-16 01:55
股价仅7元多！却罕见的拥有：全球市场占有率13%！国内市占率前三！并购且注入优质,93,1,2025-04-16 01:33
深夜暴雷，713公司业绩下滑，20个大亏超20亿，最高去年亏495亿,1358,3,2025-04-15 09:04
沪指5连阳！不要担心回调,1181,8,2025-04-15 02:04
三年赚了10倍，因为我掌握了这个规律，一年我只交易两次股票，准确率100%！,2542,16,2025-04-09 02:30
又是一场恶战！别慌，今天我打算这样干！,719,1,2025-04-16 11:31
今中阴了。。。,80,1,2025-04-16 10:52
军工、芯片领跌！现在该进攻还是逃跑？,563,2,2025-04-15 11:30
下方3352缺口，会补？,67,0,2025-04-16 10:44
看来脸面是也不要了,77,0,2025-04-16 10:29
大家先跑，我来掩护,70,0,2025-04-16 10:25
判断肯定又是暴跌全部跌停跌停跌停跌停跌停跌停跌停跌停无疑！！！！！！！！！！！！,78,0,2025-04-16 10:19
敦煌网概念股票一览,243,1,2025-04-16 08:26
大家认可的夏炒电,62,0,2025-04-16 09:22
股息率3.33%碾压国债！中证A500ETF今日分红登记,33103,54,2025-04-15 10:05
大盘明天如果跳空上涨会怎样？,366,3,2025-04-15 11:14
做投资永不再迷茫,223,1,2025-04-15 08:25
A股连续6天缩量上涨,108,0,2025-04-15 08:28
两手准备,422,1,2025-04-15 07:09
中国最赚钱的公募基金：易方达基金,251,1,2025-04-15 04:39
“对等关税”影响几何，基金投资如何应对？,4776,28,2025-04-07 09:00
【挑战10万到100万】反弹以来涨幅前十的ETF,226,1,2025-04-15 02:54
小心，会骗你入群割韭菜，这个东西,139,1,2025-04-15 03:13
引用最近在读的孟岩新书《投资中，我相信的事》中的一段话“当有一天，投资者、金融从,131,0,2025-04-15 03:38
汇添富医药基大面积亏损，指望回本比登天还难,198,1,2025-04-15 02:27
一直3000左右？难道股市是这样吗？,95,1,2025-04-15 02:34
中国股市的底层逻辑是每年1.5%的涨幅上涨的，你没看错，1.5%，你就懂为啥还在,136,3,2025-04-15 02:20
“现金奶牛”策略走红  华夏国证自由现金流ETF联接基金即将发售,683,4,2025-04-07 11:38
我着实没搞懂，这么多年了，这么多年了！为什么还在3000多点？,98,0,2025-04-15 10:56
缺口处这样的下落是不错的了,83,0,2025-04-15 02:25
4月15复盘：别被迷惑了,202,0,2025-04-15 02:20
国家队又在买买买真有钱:$,98,0,2025-04-15 12:03
沪深300连上证指数都跑不过,200,4,2025-04-14 10:33
黑嘴天天忽悠你们这些糊涂的散户,95,1,2025-04-15 09:57
我的2台电脑这几天都出现网页打开和刷新时间明显增加的现象，伙伴们有吗?,86,0,2025-04-15 10:44
[赞][赞],73,0,2025-04-15 10:16
这么多利好，就这？？？,109,1,2025-04-15 10:05
此苟骗子，碰见喷就完事了,92,0,2025-04-15 09:48
【老王实盘】挑战2025年收益率100%，从6W赚到12W！第57天：+960元，竟然连续5天回血了,2756,5,2025-04-14 05:20
五员大将坚定执行任务，乘敌之隙全员出击打了一个胶着战,327,0,2025-04-14 07:50
上涨近6%，红利低波型沙特ETF在震荡中更凸显避险价值！,57255,139,2025-04-08 12:24
根据山东能源集团2025年度战略发布会公开信息及、、等资料，关于新风光电子科技股,359,1,2025-04-14 07:21
$沪深300(SH000300)$,109,0,2025-04-14 06:08
2025年4月10日周四中午收评：,2005,11,2025-04-10 12:22
老乡别走,77,0,2025-04-10 01:50
港股科技板块开启修复？！可T+0交易的港股科技30ETF今日大涨,260,0,2025-04-10 01:47
值得关注：,190,2,2025-03-27 09:56
真要护盘就不要让大盘剧烈波动、每次剧烈波动都会消耗体力,102,2,2025-04-10 11:26
表现应该不会最差！！！？,76,0,2025-04-10 01:18
波动,452,1,2025-04-10 08:58
4月10号复盘：预判反弹高点出现,209,1,2025-04-10 11:25
A股冲高回落，恐怕还有磨底震荡！,478,0,2025-04-10 11:36
特朗普：关税加到106%！国家队出动，8个行业不受影响，机会来了,2692,12,2025-04-09 03:38
中国股市更加要雄起。因为我们有实体、有强大的金融支撑，只要整合起来给人民信心维护,76,1,2025-04-10 09:32
【老王实盘】挑战2025年收益率100%，从6W赚到12W！第54天：+1350元，继续回血~,3425,4,2025-04-09 05:04
昨天底气那么足，今天全球都在反弹，你又犹豫了，我真是服了。,90,0,2025-04-10 10:54
快抄底，为国接盘,84,0,2025-04-10 10:36
吾辈当自强,82,0,2025-04-10 10:22
快跑，牛市来了,110,1,2025-04-10 09:32
z政策底是第一只脚，市场底第二支脚出来后才有可能涨起来。从市场面来讲，3150点,137,0,2025-04-10 09:20
今天哪个机构敢做空，后面就不要再这个市场活了,61,0,2025-04-10 08:59
2025年4月9日周三晚上复盘：,2338,9,2025-04-09 09:51
投资里最难的是什么？,1598,5,2025-04-03 03:58
美10年期国债收益率飙升 “股债双杀”或提前到来-2025.04.08,380,1,2025-04-09 07:34
5个利空！别急着补仓,1411,9,2025-04-03 05:06
1、老大和老二对抗，只要没到一二战那样必须分出胜负的程度，一般都是老三倒霉。目,1587,0,2025-04-09 11:39
怎么办请问这三个连续跌停，明天能抄底了吗？拓山重工(SZ001226)原尚股份(,136,2,2025-04-09 08:43
才涨这么点，仍然是阴晴未定之象，小心为上,112,1,2025-04-09 11:57
作为长期卖空gamma的“空头”，本轮就期望着国家队拉涨打爆大空头！这个时候，,107,2,2025-04-09 11:08
中美你来我往，大A喜提黄金坑,1901,0,2025-04-09 09:01
300先锐小捷后退回城内防守,286,1,2025-04-09 07:55
免税行业集体涨停，老外都来代购，即买即退，特朗普失算了,2534,7,2025-04-09 05:39
国泰基金旗下3毛基最多，有公募大佬产品也沦为3毛基了,277,1,2025-04-09 07:30
无公募经验的徐勇掌舵越管越差，招商基金净利润两连降,221,1,2025-04-09 07:07
2025年4月9日A股收盘分析,184,1,2025-04-09 04:01
本轮tiaozheng会持续到5月份吗？到时候看,147,0,2025-04-09 04:50
A股并未超出预期框架 下跌有望带来入场良机 2025.04.09,274,0,2025-04-09 04:30
关税免疫+日元避险！这只ETF或成全球震荡市的“防御盾”！,31026,131,2025-04-09 01:08
4月9日抄作业：长赢指数投资买入纳指100,234,0,2025-04-09 03:58
把东方红资管总经理张锋送走了,215,0,2025-04-09 03:45
那最后一抖是啥意思啊,106,1,2025-04-09 03:14
两万五千家机构偷偷买进电力板块了，,109,1,2025-04-09 09:57
4月9号：连续三天吃大肉！第一波反弹高点,202,0,2025-04-09 02:53
今天大家都挺团结的啊，国内机构都流入了,84,0,2025-04-09 02:51
卖空评级，关税不去，上市公司利润会降30%,86,0,2025-04-09 02:30
怎么这么弱,75,0,2025-04-09 02:23
今天没出手,72,0,2025-04-09 02:09
全球股票市场连续回调，都为特朗普的关税政策买了单，市场在交易危机，但也砸出了一,367,0,2025-04-09 02:08
国家队这次怎么出招？无限子弹？,3905,23,2025-04-08 02:41
宁德时代拖后腿了,76,0,2025-04-09 02:01
博弈吗，抄底吗？请问这个连续跌停，今天能抄底了吗？拓山重工(SZ001226),184,2,2025-04-09 12:16
现在红盘反抽，最后的逃命点,80,0,2025-04-09 01:46
超2800股跌停！不加仓,2626,15,2025-04-07 06:12
这指数稳的作用大，定海神针之。。。很费银子，为啥多路资金买入怎就不涨呢？,101,1,2025-04-09 01:22
见证惊心动魄的金融之战！,81,0,2025-04-09 01:06
继续加仓猛干,159,0,2025-04-09 01:02
$沪深300(SH000300)$,78,0,2025-04-09 12:30
在现在这个不确定因素的前提下，尽量选择上游行业。不要轻易去赌反转，除非自己有把握,83,0,2025-04-09 12:11
今天大A会走出独立行情，开始暴涨吗？,81,1,2025-04-09 07:24
那个队吃午饭去了,76,0,2025-04-09 11:13
提前到来的熊市并不可怕,234,1,2025-04-08 12:04
理性投资者呼吁暂停资本市场融资功能，避免更多资金深度套牢，为将来的反弹保留资金实,76,0,2025-04-09 10:09
抄底！！抄底！同志们，机会！,102,2,2025-04-09 08:58
珍惜低点，下午国家队会拉,61,0,2025-04-09 09:49
创新药板块再迎全链条支持政策！港股创新药ETF或将再度回调,291,0,2025-04-09 09:49
买ETF的国家队，下午才能操作，上午还是要靠市场自己要有信心呀,66,0,2025-04-09 09:38
ST新潮大股东以3.1元/股正式要约收购20%股份，现价2.65元。具备确定性,57,0,2025-04-09 09:21
2025年4月8日周二晚上复盘：,1826,6,2025-04-08 11:04
啥都不要信，局势稳定再进场。们不值得被信任。,71,0,2025-04-09 07:44
上证指数都已跌破了3150的地点，各大指数互相印证。3150点以上是一个盘整了6,107,0,2025-04-09 06:33
重锤的一天,515,1,2025-04-07 09:38
曙光初现,487,2,2025-04-08 10:54
510300今天涨了0.95%，但是沪深300指数是涨了1.71%这是咋回事,199,2,2025-04-08 09:46
如此巨挫之下，今天的反抽力度是可以接受的，只是缺口太大,119,0,2025-04-08 10:49
有农业概念吗？有我就加仓了,134,0,2025-04-08 10:38
今天为什么没有熔断好像应该熔断,198,5,2025-04-07 06:51
【老王实盘】挑战2025年收益率100%，从6W赚到12W！第53天：+1500元，回了一点血~,2754,3,2025-04-08 05:27
15年7月10,96,0,2025-04-08 06:27
同志们，现在是抄底的时候了！抄底抄底抄底！！！1,91,0,2025-04-08 05:08
中午发了一篇文章，涉及历史和时政，几个小时还在审核，估计也是发不出来。组织护盘,150,0,2025-04-08 04:39
还不如美日股市反弹多……,100,2,2025-04-08 01:58
【老王实盘】挑战2025年收益率100%，从6W赚到12W！第52天：吃了一碗好大的宽面~,4462,9,2025-04-07 05:05
中央汇金、国新呢？,131,2,2025-04-08 01:55
2025年4月8日周二中午收评：,2297,12,2025-04-08 12:27
我通过这个方法在A股做波段交易，三年赚了10倍，把握住这两个节点,2360,15,2025-04-08 01:44
"创新药行业迎来价值重估：""业绩拐点+政策回暖+估值低位""三重共振",3266,3,2025-04-08 11:15
盘面显示，关键时候还得是上证为代表的大盘股靠的住,70,0,2025-04-08 02:52
就知道拉尾盘，琐,71,0,2025-04-08 02:49
屏幕拉满了，快换个大的显示屏,69,0,2025-04-08 02:41
某队入场了,70,0,2025-04-08 02:37
继续看后面的机会,1119,4,2025-04-08 12:09
中国版平准基金来了！释放强信号，A股绝地反击,1139,1,2025-04-08 12:28
4.08基金操作：A股弱势反抽，今天我开始进场！,966,0,2025-04-08 01:29
右侧又加仓了。,95,0,2025-04-08 12:54
稳住！稳住！稳住！打爆做空的空头。,75,0,2025-04-08 12:26
做好跌到2800点的准备,463,2,2025-04-08 11:16
A50上涨都带不动你，跌的时候你当仁不让。。。,83,0,2025-04-08 11:20
同志们现在不抄底等待何时?抄底抄底！！！抄底！,87,0,2025-04-08 11:17
认沽期权又好玩了！！！我上周已经进货了！！！,241,3,2025-04-05 02:51
市场回调之际，红利质量或成资金“香饽饽”,319,3,2025-04-08 10:58
最高60%！2025年一季度各类型基金业绩第一名出炉,517,5,2025-04-01 12:40
今天什么股都不买就买节能风电,72,1,2025-04-08 09:08
2025年4月7日周一晚上复盘：,2845,4,2025-04-07 10:30
港股巨震中的 “捡红利” 指南,8330,10,2025-04-07 12:42
准备明天加仓大A，A股跌到年线附近了,82,0,2025-04-08 10:24
喊声雷动，就是不见下雨，出工不出力，都在静观其变。,75,0,2025-04-08 09:54
要给信心这是漂亮国的阴谋我们要红起来,57,0,2025-04-08 09:52
中国人民银行坚定支持中央汇金公司加大力度增持股票市场指数基金，并在必要时向中央,192,2,2025-04-08 08:53
王炸！“对等关税”反制战打响！对大A影响几何？投资主线在哪？,7577,26,2025-04-07 06:36
美国征收“对等关税”，全球金融市场震荡！,2687,3,2025-04-07 02:44
国家队出手，中央汇金增持，A股有救了吗？,1871,8,2025-04-07 04:31
再次见证千股跌停,95,2,2025-04-07 10:48
同样一个技术，有的人就赚钱，有的人就亏。所以适合自己的才是最好的。,178,0,2025-04-07 11:23
为什么今天没有熔断啊？,113,1,2025-04-07 10:04
这分时图走的好陌生,125,0,2025-04-07 10:40
关于量化交易以及促进市场发展的一篇建言！,1630,11,2025-04-03 09:45
空媾从去年十月八号4450下来吃了快一千点了，但从今年高点4025算只有500多,93,1,2025-04-07 08:23
2025.4.8股指期货早盘分析-IF2506,113,0,2025-04-07 09:22
一步到位,982,4,2025-04-07 04:34
加仓，加仓，再加仓！,121,0,2025-04-07 08:45
半年没写，小结一下。,1439,23,2025-03-17 07:13
鞋特！dog谢特！,79,0,2025-04-07 08:06
$沪深300(SH000300)$,98,0,2025-04-07 07:03
说个离谱的。之前一直亏钱，今天竟然赚钱了,109,0,2025-04-07 06:23
汇金增持ETF将加速场内资金离场,262,0,2025-04-07 05:45
目前没有熔断机制了么？,99,0,2025-04-07 05:39
2025年4月7日A股收盘分析,250,0,2025-04-07 05:01
沪综指走势预测，短期，在3085形成支撑，向上到3150。长期，从3085反弹3,97,0,2025-04-07 05:00
妈耶，说好的一起抗。结果就是我扛着兄弟们先走。,53,1,2025-04-07 04:21
本人预计明天收盘时，只有108.只个股待涨。希望在明天！深V不会迟到吧。,88,1,2025-04-07 04:28
科技成长集中营，亚太精选ETF连续7周吸金！,32527,131,2025-04-02 01:37
潘多拉魔盒…,74,0,2025-04-07 04:12
俩etf都快被那谁拉冒烟了也没救成功,139,2,2025-04-07 02:34
拿去用,165,2,2025-04-07 03:47
国内机构真的是软gu头，跪久了都不知道怎么站了！！！,116,1,2025-04-07 09:21
这一回，我想好了，不急着加仓，跌到绝望、超预期地下跌，缩量、小+字星或小阴小阳，,399,0,2025-04-05 07:03
2025年4月7日周一中午收评：,5369,18,2025-04-07 12:57
【老王实盘】挑战2025年收益率100%，从6W赚到12W！第51天：没错，今天加仓了~,1181,8,2025-04-03 05:42
IH，IF，IC，IM近期数据变化（2025.4.3）,501,1,2025-04-07 08:44
4025开始滑了，看滑到那去呀,100,1,2025-03-21 10:44
理性审视李大霄唱多A股观点：是远见还是误判？,774,2,2025-04-04 08:44
9月份拉股市的资金成功完成收割,68,0,2025-04-07 03:01
一个字，牛。比。尾盘10分钟，嗵的一下子。。抬了个头,83,0,2025-04-07 02:59
流动性枯竭了，民赎回，机构要卖出应对，如此恶性循环。,73,0,2025-04-07 02:43
降准降息随时可以出台！A股市场今日低开后V型反弹,669,2,2025-04-07 10:23
这个时候要拉拉小盘股给信心,98,2,2025-04-07 01:09
见证奇迹,90,0,2025-04-07 02:12
2398股跌停。。。。,73,0,2025-04-07 01:55
为啥不融断了,237,2,2025-04-07 01:14
成长方向大跌，核心科技宽基迎来“击球区”？,226,0,2025-04-07 01:52
上一次大跌7%还是五年前疫情的时候。估计还得跌两三天再拉起来,67,0,2025-04-07 01:49
周末大雷！37家公司减持，5家被立案，还有21个退市警示公告,1309,2,2025-04-06 08:52
最新数据公布！外商依然青睐东南亚，如何借基布局？,31932,130,2025-04-02 01:19
4.7 下午操作预期,165,0,2025-04-07 01:13
全球都在跌，是不用救市的,90,0,2025-04-07 01:12
开始多杀多,74,0,2025-04-07 01:05
低开或一步到位#李大霄#为老百姓发声#做好人买好股得好报#大有学问,96680,28,2025-04-06 10:03
关税是大A周四盘前出的,203,0,2025-04-07 12:51
不是有熔断器吗？,158,2,2025-04-07 11:28
完了完了完了完了完了完了，没有办法了，全赔钱了！,75,0,2025-04-07 12:14
中国非制造业采购经理指数运行情况3月份，非制造业商务活动指数为50.8%，比上,94,1,2025-03-31 10:16
~刚公布的三月统计局数据显示，中国经济开始强劲复苏！在这种情况下还硬要压盘洗盘,100,1,2025-03-31 01:59
散户为什么赚钱难,144,0,2025-04-07 11:44
4.7上午做单总结 盈利98点,113,1,2025-04-07 11:23
周一A股要大跌了，不要怕，历史上7次暴跌之后都是抄底的良机！,2094,11,2025-04-07 07:58
看样子，阶段性稳住都难呀,94,1,2025-03-31 02:32
开盘前讲过激进可追空，我也是开了一单，100加的行情，喝了点汤汤水水。如此未见明,123,6,2025-04-07 09:51
本来在大盘3000底下应该出现的恐慌盘，3300左右出来了。证明了一点。沪指27,133,1,2025-04-07 10:50
“扩绿、兴绿、护绿”并举筑牢美丽中国生态根基。,69,0,2025-04-07 10:57
就算不是下跌也好不了，沪深300全是融资票，其他的不融资的只跟跌不跟涨,81,0,2025-04-07 10:44
明天估计还有一脚多杀多（没有最好但要防着）,55,0,2025-04-07 10:37
今天，加仓一些。,78,0,2025-04-07 10:37
是时候展现你的任性了,51,0,2025-04-07 10:16
熊市又发威了，预期的小升幅将变成为期二年的大跌幅。,53,0,2025-04-07 10:13
盼望已久的下跌来了,54,0,2025-04-07 10:00
A股30分钟回到解放前！！！,76,0,2025-04-07 09:51
真是了！,45,0,2025-04-07 09:49
我会出手的,50,0,2025-04-07 09:40
大幅低开！进场抄底！,55,0,2025-04-07 09:33
满仓干，螺纹钢才跌2%,52,0,2025-04-07 09:27
爱心爱心爱心新的跌停板战法看看，例如泰尔股份(SZ002347)和匠心家居(SZ,66,2,2025-04-07 08:46
美股彻底崩盘，周一开盘，标普500指数又暴跌5%，纳斯达克暴跌25%！,566,0,2025-04-07 07:28
跌停板战法可以看看，例如，泰尔股份(SZ002347)和匠心家居(SZ30106,103,1,2025-04-07 08:08
现在又要护盘，,70,0,2025-04-07 07:30
干货，跌停板战法，泰尔股份(SZ002347)和匠心家居(SZ301061)和楚,203,1,2025-04-06 11:14
认命了，也不指望明天开盘有什么奇迹。只能说为国护盘，亏了四年，也不差这一刀，下周,48,0,2025-04-06 10:57
我又回来了，清仓美股，周一杀入振华科技，冲这个名字，就得全仓买入。另外，一季度环,336,2,2025-04-06 04:59
【紧急预警】A股三连阴破位！贸易战下 A股有破位下跌隐忧,542,4,2025-04-06 10:02
但斌的基金大幅亏损了，而这些净值只更新到2025年3月31日,850,4,2025-04-06 09:55
可以分批重新买入，水平高的可以精选业绩不错的个股买入。,425,1,2025-03-28 01:42
4月7日开盘低开，是好的分批买点。拉长1-3个月，这类各种媒体和大V渲染下的情绪,177,0,2025-04-06 08:36
全球,160,0,2025-04-06 08:22
全球来了，做空，至少跌四个月,162,0,2025-04-06 08:22
周一A股的表现，我心里已经有计划了！看看对不对。,1261,3,2025-04-06 06:50
4月7号预案：空仓避开大跌后，如何做多,994,0,2025-04-06 04:28
高盛刚刚抄底了消费龙头股，机构预计利润翻倍增长，市盈率14倍,832,4,2025-04-05 09:14
深夜重磅利空，纳斯达克暴跌4%，日经暴跌6%，小心了,1639,7,2025-04-03 08:13
下周A股最坏情况的应对策略,2602,1,2025-04-05 09:02
